,,,Azure Jobs,,Transport,,,,,,,,,
,,,Azure Jobs,,Healthcare,,,,,,,,,
,,,Azure Jobs,,Telecom,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Industry,Classification,Regression,Clustering,,,,,,
,,,,,,,,,,,,,,
,,,KAGGLE,,Finance,PaySim – Fraud Detection,Huge Stock Market Dataset,Home Credit Default Risk,,,,,,
,,,KAGGLE,,Retail,Online Retail II (UCI/Kaggle),Instacart Market Basket Analysis,Online Retail II (Customer Segmentation),,,,,,
,,,KAGGLE,,Transport,NYC Taxi Trip Data – Kaggle subset,NYC Taxi Trip Data – Fare/Duration,NYC Taxi Trip Data – Route/Time Clusters,,,,,,
,,,KAGGLE,,Healthcare,Hospital Length of Stay (Microsoft),Medical Cost Personal Dataset,Hospital Inpatient Discharges – SPARCS 2015,,,,,,
,,,KAGGLE,,Telecom,Telecom Churn Dataset (India),Telco Customer Churn (IBM) – charges as target,Telecom Customer (100k × 100),,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Industry,Classification (link),Regression (link),Clustering (link),,,,,,
,,,OPENML,,Finance & Banking,CreditCardFraudDetection – credit card transaction fraud (≈284k rows). (OpenML),Workers Compensation – claim costs – predict UltimateIncurredClaimCost (insurance / finance). (Actuarial Data Science),default-of-credit-card-clients – cluster customers by credit behavior. (Proceedings of NeurIPS),,,,,,
,,,OPENML,,Marketing & Retail,bank-marketing – term-deposit subscription (direct marketing). (OpenML),"house_sales – house price prediction (real-estate commerce, 21k+ rows). (Hugging Face)",Online-Retail-II-UCI – 1M+ online transactions; use for customer / basket clustering. (OpenML),,,,,,
,,,OPENML,,Transport & Mobility,Airlines_DepDelay_1M – 1M flight records; classify “delayed vs on-time”. (OpenML),nyc-taxi-green-dec-2016 – NYC taxi trips; regress on fare or trip time (≈581k rows). (OpenML),Airline Ticket Price (atp1d) – cluster routes/tickets by price bands. (OpenML),,,,,,
,,,OPENML,,Healthcare,Diabetes130US – 100k diabetic hospital encounters; classify readmitted (Yes/No). (Invene),medical_charges – Medicare inpatient charges; regression on total payment (163k rows). (OpenML),chronic-kidney-disease – cluster patients by labs/clinical features. (OpenML),,,,,,
,,,OPENML,,Telecom & Customer Analytics,"telco-customer-churn – IBM telco churn, 7,043 customers; binary classification. (OpenML)",KDDCup09_churn – large telco churn dataset; you can treat churn probability / usage as regression target. (OpenML),churn-uplift-mlg – telecom marketing uplift / churn; good for unsupervised customer segmentation. (OpenML),,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,Classification,Regression,Clustering,"Write a short description in bulletize format on how to use the dataset in machine learning  ops pipeline , task type Classification. Output: Bulletized and bolded appropriately, and share what is the target column name in bold","Write a short description in bulletize format on how to use the dataset in machine learning  ops pipeline  , task type Regression Output: Bulletized and bolded appropriately, and share what is the target column name in bold","Write a short description in bulletize format on how to use the dataset in machine learning  ops pipeline , task type Clustering Output: Bulletized and bolded appropriately, and share what is the target column name in bold",Extract  dataset name and target column,,
,,,OPENML,,Finance & Banking,"{""data_set_description"":{""id"":""42175"",""name"":""CreditCardFraudDetection"",""version"":""1"",""description"":""Context\nIt is important that credit card companies are able to recognize fraudulent credit card transactions so that customers are not charged for items that they did not purchase.\n\nContent\nThe datasets contains transactions made by credit cards in September 2013 by european cardholders. This dataset presents transactions that occurred in two days, where we have 492 frauds out of 284,807 transactions. The dataset is highly unbalanced, the positive class (frauds) account for 0.172% of all transactions.\n\nIt contains only numerical input variables which are the result of a PCA transformation. Unfortunately, due to confidentiality issues, we cannot provide the original features and more background information about the data. Features V1, V2, ... V28 are the principal components obtained with PCA, the only features which have not been transformed with PCA are 'Time' and 'Amount'. Feature 'Time' contains the seconds elapsed between each transaction and the first transaction in the dataset. The feature 'Amount' is the transaction Amount, this feature can be used for example-dependant cost-senstive learning. Feature 'Class' is the response variable and it takes value 1 in case of fraud and 0 otherwise.\n\nInspiration\nIdentify fraudulent credit card transactions.\n\nGiven the class imbalance ratio, we recommend measuring the accuracy using the Area Under the Precision-Recall Curve (AUPRC). Confusion matrix accuracy is not meaningful for unbalanced classification.\n\nAcknowledgements\nThe dataset has been collected and analysed during a research collaboration of Worldline and the Machine Learning Group (http:\/\/mlg.ulb.ac.be) of ULB (Universite Libre de Bruxelles) on big data mining and fraud detection. More details on current and past projects on related topics are available on https:\/\/www.researchgate.net\/project\/Fraud-detection-5 and the page of the DefeatFraud project\n\nPlease cite the following works:\n\nAndrea Dal Pozzolo, Olivier Caelen, Reid A. Johnson and Gianluca Bontempi. Calibrating Probability with Undersampling for Unbalanced Classification. In Symposium on Computational Intelligence and Data Mining (CIDM), IEEE, 2015\n\nDal Pozzolo, Andrea; Caelen, Olivier; Le Borgne, Yann-Ael; Waterschoot, Serge; Bontempi, Gianluca. Learned lessons in credit card fraud detection from a practitioner perspective, Expert systems with applications,41,10,4915-4928,2014, Pergamon\n\nDal Pozzolo, Andrea; Boracchi, Giacomo; Caelen, Olivier; Alippi, Cesare; Bontempi, Gianluca. Credit card fraud detection: a realistic modeling and a novel learning strategy, IEEE transactions on neural networks and learning systems,29,8,3784-3797,2018,IEEE\n\nDal Pozzolo, Andrea Adaptive Machine learning for credit card fraud detection ULB MLG PhD thesis (supervised by G. Bontempi)\n\nCarcillo, Fabrizio; Dal Pozzolo, Andrea; Le Borgne, Yann-Ael; Caelen, Olivier; Mazzer, Yannis; Bontempi, Gianluca. Scarff: a scalable framework for streaming credit card fraud detection with Spark, Information fusion,41, 182-194,2018,Elsevier\n\nCarcillo, Fabrizio; Le Borgne, Yann-Ael; Caelen, Olivier; Bontempi, Gianluca. Streaming active learning strategies for real-life credit card fraud detection: assessment and visualization, International Journal of Data Science and Analytics, 5,4,285-300,2018,Springer International Publishing\n\nBertrand Lebichot, Yann-Ael Le Borgne, Liyun He, Frederic Oble, Gianluca Bontempi Deep-Learning Domain Adaptation Techniques for Credit Cards Fraud Detection, INNSBDDL 2019: Recent Advances in Big Data and Deep Learning, pp 78-88, 2019\n\nFabrizio Carcillo, Yann-Ael Le Borgne, Olivier Caelen, Frederic Oble, Gianluca Bontempi Combining Unsupervised and Supervised Learning in Credit Card Fraud Detection Information Sciences, 2019.\n\nbye"",""description_version"":""7"",""format"":""arff"",""creator"":""jhonatan"",""contributor"":""Andreas Mueller"",""upload_date"":""2019-10-14T16:39:17"",""language"":""English"",""licence"":""Public"",""url"":""https:\/\/api.openml.org\/data\/v1\/download\/21756045\/CreditCardFraudDetection.arff"",""parquet_url"":""https:\/\/data.openml.org\/datasets\/0004\/42175\/dataset_42175.pq"",""file_id"":""21756045"",""default_target_attribute"":""Class"",""citation"":""Andrea Dal Pozzolo, Olivier Caelen, Reid A. Johnson and Gianluca Bontempi. Calibrating Probability with Undersampling for Unbalanced Classification. In Symposium on Computational Intelligence and Data Mining (CIDM), IEEE, 2015"",""visibility"":""public"",""minio_url"":""https:\/\/data.openml.org\/datasets\/0004\/42175\/dataset_42175.pq"",""status"":""active"",""processing_date"":""2019-10-14 16:42:30"",""md5_checksum"":""f9af8fd7966f2d2b8a3e5e67158a7757""}}
{
    ""data_set_description"": {
        ""id"": ""42175"",
        ""name"": ""CreditCardFraudDetection"",
        ""version"": ""1"",
        ""description"": ""Context\nIt is important that credit card companies are able to recognize fraudulent credit card transactions so that customers are not charged for items that they did not purchase.\n\nContent\nThe datasets contains transactions made by credit cards in September 2013 by european cardholders. This dataset presents transactions that occurred in two days, where we have 492 frauds out of 284,807 transactions. The dataset is highly unbalanced, the positive class (frauds) account for 0.172% of all transactions.\n\nIt contains only numerical input variables which are the result of a PCA transformation. Unfortunately, due to confidentiality issues, we cannot provide the original features and more background information about the data. Features V1, V2, ... V28 are the principal components obtained with PCA, the only features which have not been transformed with PCA are 'Time' and 'Amount'. Feature 'Time' contains the seconds elapsed between each transaction and the first transaction in the dataset. The feature 'Amount' is the transaction Amount, this feature can be used for example-dependant cost-senstive learning. Feature 'Class' is the response variable and it takes value 1 in case of fraud and 0 otherwise.\n\nInspiration\nIdentify fraudulent credit card transactions.\n\nGiven the class imbalance ratio, we recommend measuring the accuracy using the Area Under the Precision-Recall Curve (AUPRC). Confusion matrix accuracy is not meaningful for unbalanced classification.\n\nAcknowledgements\nThe dataset has been collected and analysed during a research collaboration of Worldline and the Machine Learning Group (http://mlg.ulb.ac.be) of ULB (Universite Libre de Bruxelles) on big data mining and fraud detection. More details on current and past projects on related topics are available on https://www.researchgate.net/project/Fraud-detection-5 and the page of the DefeatFraud project\n\nPlease cite the following works:\n\nAndrea Dal Pozzolo, Olivier Caelen, Reid A. Johnson and Gianluca Bontempi. Calibrating Probability with Undersampling for Unbalanced Classification. In Symposium on Computational Intelligence and Data Mining (CIDM), IEEE, 2015\n\nDal Pozzolo, Andrea; Caelen, Olivier; Le Borgne, Yann-Ael; Waterschoot, Serge; Bontempi, Gianluca. Learned lessons in credit card fraud detection from a practitioner perspective, Expert systems with applications,41,10,4915-4928,2014, Pergamon\n\nDal Pozzolo, Andrea; Boracchi, Giacomo; Caelen, Olivier; Alippi, Cesare; Bontempi, Gianluca. Credit card fraud detection: a realistic modeling and a novel learning strategy, IEEE transactions on neural networks and learning systems,29,8,3784-3797,2018,IEEE\n\nDal Pozzolo, Andrea Adaptive Machine learning for credit card fraud detection ULB MLG PhD thesis (supervised by G. Bontempi)\n\nCarcillo, Fabrizio; Dal Pozzolo, Andrea; Le Borgne, Yann-Ael; Caelen, Olivier; Mazzer, Yannis; Bontempi, Gianluca. Scarff: a scalable framework for streaming credit card fraud detection with Spark, Information fusion,41, 182-194,2018,Elsevier\n\nCarcillo, Fabrizio; Le Borgne, Yann-Ael; Caelen, Olivier; Bontempi, Gianluca. Streaming active learning strategies for real-life credit card fraud detection: assessment and visualization, International Journal of Data Science and Analytics, 5,4,285-300,2018,Springer International Publishing\n\nBertrand Lebichot, Yann-Ael Le Borgne, Liyun He, Frederic Oble, Gianluca Bontempi Deep-Learning Domain Adaptation Techniques for Credit Cards Fraud Detection, INNSBDDL 2019: Recent Advances in Big Data and Deep Learning, pp 78-88, 2019\n\nFabrizio Carcillo, Yann-Ael Le Borgne, Olivier Caelen, Frederic Oble, Gianluca Bontempi Combining Unsupervised and Supervised Learning in Credit Card Fraud Detection Information Sciences, 2019.\n\nbye"",
        ""description_version"": ""7"",
        ""format"": ""arff"",
        ""creator"": ""jhonatan"",
        ""contributor"": ""Andreas Mueller"",
        ""upload_date"": ""2019-10-14T16:39:17"",
        ""language"": ""English"",
        ""licence"": ""Public"",
        ""url"": ""https://api.openml.org/data/v1/download/21756045/CreditCardFraudDetection.arff"",
        ""parquet_url"": ""https://data.openml.org/datasets/0004/42175/dataset_42175.pq"",
        ""file_id"": ""21756045"",
        ""default_target_attribute"": ""Class"",
        ""citation"": ""Andrea Dal Pozzolo, Olivier Caelen, Reid A. Johnson and Gianluca Bontempi. Calibrating Probability with Undersampling for Unbalanced Classification. In Symposium on Computational Intelligence and Data Mining (CIDM), IEEE, 2015"",
        ""visibility"": ""public"",
        ""minio_url"": ""https://data.openml.org/datasets/0004/42175/dataset_42175.pq"",
        ""status"": ""active"",
        ""processing_date"": ""2019-10-14 16:42:30"",
        ""md5_checksum"": ""f9af8fd7966f2d2b8a3e5e67158a7757""
    }
}","{
  ""data_set_description"": {
    ""id"": ""42876"",
    ""name"": ""WorkersCompensation"",
    ""version"": ""1"",
    ""description"": ""This dataset describes 100,000 realistic, synthetically generated worker compensation insurance claims. Along the ultimate financial losses, each claim is described by the initial case estimate, date of accident and reporting date, a text describing the accident and demographic info on the worker.\n\nThe dataset was kindly created and provided by Colin Priest. While similar, it is not identical to the dataset used in www.kaggle.com/c/actuarial-loss-estimation."",
    ""description_version"": ""1"",
    ""format"": ""ARFF"",
    ""creator"": ""Colin Priest"",
    ""contributor"": ""Colin Priest"",
    ""upload_date"": ""2021-05-11T13:39:47"",
    ""licence"": ""CC0"",
    ""url"": ""https://api.openml.org/data/v1/download/22045494/WorkersCompensation.arff"",
    ""parquet_url"": ""https://data.openml.org/datasets/0004/42876/dataset_42876.pq"",
    ""file_id"": ""22045494"",
    ""default_target_attribute"": ""UltimateIncurredClaimCost"",
    ""row_id_attribute"": ""ClaimNumber"",
    ""visibility"": ""public"",
    ""minio_url"": ""https://data.openml.org/datasets/0004/42876/dataset_42876.pq"",
    ""status"": ""active"",
    ""processing_date"": ""2021-05-11 13:40:05"",
    ""md5_checksum"": ""96c58ad3dd50c2c72d96961d6728b017""
  }
}","{
  ""data_set_description"": {
    ""id"": ""42477"",
    ""name"": ""default-of-credit-card-clients"",
    ""version"": ""1"",
    ""description"": ""**Author**: Yeh, I. C., & Lien, C. H\n**Source**: [original](https://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients#) - 2016-01-26  \n**Please cite**: Yeh, I. C., & Lien, C. H. (2009). The comparisons of data mining techniques for the predictive accuracy of probability of default of credit card clients. Expert Systems with Applications, 36(2), 2473-2480.\n\n   \n\nData Set Information:\n\nThis research aimed at the case of customersâ€™ default payments in Taiwan and compares the predictive accuracy of probability of default among six data mining methods. From the perspective of risk management, the result of predictive accuracy of the estimated probability of default will be more valuable than the binary result of classification - credible or not credible clients. Because the real probability of default is unknown, this study presented the novel Sorting Smoothing Method to estimate the real probability of default. With the real probability of default as the response variable (Y), and the predictive probability of default as the independent variable (X), the simple linear regression result (Y ' A + BX) shows that the forecasting model produced by artificial neural network has the highest coefficient of determination; its regression intercept (A) is close to zero, and regression coefficient (B) to one. Therefore, among the six data mining techniques, artificial neural network is the only one that can accurately estimate the real probability of default.\n\n\n## Attribute Information:\n\nThis research employed a binary variable, default payment (Yes ' 1, No ' 0), as the response variable. This study reviewed the literature and used the following 23 variables as explanatory variables:\nX1: Amount of the given credit (NT dollar): it includes both the individual consumer credit and his/her family (supplementary) credit.\nX2: Gender (1 ' male; 2 ' female).\nX3: Education (1 ' graduate school; 2 ' university; 3 ' high school; 4 ' others).\nX4: Marital status (1 ' married; 2 ' single; 3 ' others).\nX5: Age (year).\nX6 - X11: History of past payment. We tracked the past monthly payment records (from April to September, 2005) as follows: X6 ' the repayment status in September, 2005; X7 ' the repayment status in August, 2005; . . .;X11 ' the repayment status in April, 2005. The measurement scale for the repayment status is: -1 ' pay duly; 1 ' payment delay for one month; 2 ' payment delay for two months; . . .; 8 ' payment delay for eight months; 9 ' payment delay for nine months and above.\nX12-X17: Amount of bill statement (NT dollar). X12 ' amount of bill statement in September, 2005; X13 ' amount of bill statement in August, 2005; . . .; X17 ' amount of bill statement in April, 2005.\nX18-X23: Amount of previous payment (NT dollar). X18 ' amount paid in September, 2005; X19 ' amount paid in August, 2005; . . .;X23 ' amount paid in April, 2005.\n\n\n## Relevant Papers:\n\nYeh, I. C., & Lien, C. H. (2009). The comparisons of data mining techniques for the predictive accuracy of probability of default of credit card clients. Expert Systems with Applications, 36(2), 2473-2480."",
    ""description_version"": ""1"",
    ""format"": ""ARFF"",
    ""collection_date"": ""2016-01-26"",
    ""upload_date"": ""2020-06-11T01:28:28"",
    ""licence"": ""CC0"",
    ""url"": ""https://api.openml.org/data/v1/download/21854402/default-of-credit-card-clients.arff"",
    ""parquet_url"": ""https://data.openml.org/datasets/0004/42477/dataset_42477.pq"",
    ""file_id"": ""21854402"",
    ""default_target_attribute"": ""y"",
    ""row_id_attribute"": ""id"",
    ""visibility"": ""public"",
    ""original_data_url"": ""https://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients#"",
    ""minio_url"": ""https://data.openml.org/datasets/0004/42477/dataset_42477.pq"",
    ""status"": ""active"",
    ""processing_date"": ""2020-06-11 01:31:18"",
    ""md5_checksum"": ""4efbcc48d388c8cff428950006198b4e""
  }
}","* **Data Acquisition and Preparation:** The **CreditCardFraudDetection** dataset contains 284,807 transactions, with **Time** and **Amount** as original features, and **V1** through **V28** as PCA-transformed numerical features. It must be prepared for the classification task.
  * **Classification Task:** The goal is to identify fraudulent credit card transactions. This is a classification problem where the positive class (fraud) is highly unbalanced (0.172% of transactions).
  * **Model Training and Evaluation:** Due to the severe class imbalance, accuracy should be measured using the Area Under the Precision-Recall Curve (AUPRC), as confusion matrix accuracy is not meaningful.
  * **Target Column:** The response variable for classification is **Class**.","* **Data Gathering:** The **WorkersCompensation** dataset, which contains 100,000 synthetic workers' compensation claims, would be gathered as the input data source.
  * **Data Preprocessing:** Clean and prepare the data, including handling missing values, standardizing numerical features, and converting relevant text descriptions (accident description) and demographic info into machine-readable formats.
  * **Model Training (Regression):** Use the processed data to train a regression model to predict the financial loss. The model's objective is to estimate continuous numerical values.
  * **Model Evaluation and Validation:** Evaluate the trained model's performance using appropriate regression metrics (e.g., Mean Squared Error) and validate that the new model performs satisfactorily before deployment.
  * **Model Deployment:** Deploy the validated model to make predictions on new, unseen compensation claims.
  * **Monitoring and Maintenance:** Continuously monitor the model's performance in production and retrain the model on new data based on a schedule or trigger to maintain accuracy.
  * The target column name for this regression task is **UltimateIncurredClaimCost**.","* **Data Ingestion**: Load the ""default-of-credit-card-clients"" dataset into the pipeline.
  * **Preprocessing and Feature Selection**: Clean the data (handle missing values, normalize/standardize numerical features like X1, X5, X12-X23), and select relevant explanatory variables (X1 through X23). The response variable (default payment) is often excluded or used only for post-clustering analysis/validation in pure clustering tasks.
  * **Model Training (Clustering)**: Apply a clustering algorithm (e.g., K-Means, DBSCAN) to the processed explanatory variables (X1-X23) to group credit card clients based on similarity of their attributes (credit amount, demographics, payment history, bill amounts, previous payments).
  * **Evaluation**: Assess the quality of the clusters using internal metrics (e.g., Silhouette score) and external metrics if the true labels (**y**) are used for validation (e.g., Adjusted Rand Index).
  * **Deployment and Monitoring**: Deploy the trained clustering model to categorize new clients. Monitor cluster characteristics over time to detect concept drift.The default target column name is **y**.","Dataset Name: CreditCardFraudDetection
Target Column: Class","Dataset Name: WorkersCompensation
Target Column: UltimateIncurredClaimCost","Dataset Name: default-of-credit-card-clients
Target Column: y"
